encoder,classificador,teste,batch,n_models,combination,fusion_method,value
PKLot,camera1,camera1,64,2,"(4, 8)",mean_probs,0.9162675474814204
PKLot,camera1,camera1,64,2,"(4, 8)",max,0.9162675474814204
PKLot,camera1,camera1,64,2,"(4, 8)",mult,0.9162675474814204
PKLot,camera1,camera1,64,2,"(4, 8)",vote,0.9162675474814204
PKLot,camera1,camera1,64,2,"(4, 9)",sum,0.8791081750619323
PKLot,camera1,camera1,64,2,"(4, 9)",mean_probs,0.8791081750619323
PKLot,camera1,camera1,64,2,"(4, 9)",max,0.8791081750619323
PKLot,camera1,camera1,64,2,"(4, 9)",mult,0.8791081750619323
PKLot,camera1,camera1,64,2,"(4, 9)",vote,0.8791081750619323
PKLot,camera1,camera1,64,2,"(5, 6)",sum,0.9096614368290669
PKLot,camera1,camera1,64,2,"(5, 6)",mean_probs,0.9096614368290669
PKLot,camera1,camera1,64,2,"(5, 6)",max,0.9096614368290669
PKLot,camera1,camera1,64,2,"(5, 6)",mult,0.9096614368290669
PKLot,camera1,camera1,64,2,"(5, 6)",vote,0.9096614368290669
PKLot,camera1,camera1,64,2,"(5, 7)",sum,0.933608587943848
PKLot,camera1,camera1,64,2,"(5, 7)",mean_probs,0.933608587943848
PKLot,camera1,camera1,64,2,"(5, 7)",max,0.933608587943848
PKLot,camera1,camera1,64,2,"(5, 7)",mult,0.933608587943848
PKLot,camera1,camera1,64,2,"(5, 7)",vote,0.933608587943848
PKLot,camera1,camera1,64,2,"(5, 8)",sum,0.9220478943022296
PKLot,camera1,camera1,64,2,"(5, 8)",mean_probs,0.9220478943022296
PKLot,camera1,camera1,64,2,"(5, 8)",max,0.9220478943022296
PKLot,camera1,camera1,64,2,"(5, 8)",mult,0.9220478943022296
PKLot,camera1,camera1,64,2,"(5, 8)",vote,0.9220478943022296
PKLot,camera1,camera1,64,2,"(5, 9)",sum,0.8981007431874484
PKLot,camera1,camera1,64,2,"(5, 9)",mean_probs,0.8981007431874484
PKLot,camera1,camera1,64,2,"(5, 9)",max,0.8981007431874484
PKLot,camera1,camera1,64,2,"(5, 9)",mult,0.8981007431874484
PKLot,camera1,camera1,64,2,"(5, 9)",vote,0.8981007431874484
PKLot,camera1,camera1,64,2,"(6, 7)",sum,0.9281585466556564
PKLot,camera1,camera1,64,2,"(6, 7)",mean_probs,0.9281585466556564
PKLot,camera1,camera1,64,2,"(6, 7)",max,0.9281585466556564
PKLot,camera1,camera1,64,2,"(6, 7)",mult,0.9281585466556564
PKLot,camera1,camera1,64,2,"(6, 7)",vote,0.9281585466556564
PKLot,camera1,camera1,64,2,"(6, 8)",sum,0.9152766308835673
PKLot,camera1,camera1,64,2,"(6, 8)",mean_probs,0.9152766308835673
PKLot,camera1,camera1,64,2,"(6, 8)",max,0.9152766308835673
PKLot,camera1,camera1,64,2,"(6, 8)",mult,0.9152766308835673
PKLot,camera1,camera1,64,2,"(6, 8)",vote,0.9152766308835673
PKLot,camera1,camera1,64,2,"(6, 9)",sum,0.8870355078447564
PKLot,camera1,camera1,64,2,"(6, 9)",mean_probs,0.8870355078447564
PKLot,camera1,camera1,64,2,"(6, 9)",max,0.8870355078447564
PKLot,camera1,camera1,64,2,"(6, 9)",mult,0.8870355078447564
PKLot,camera1,camera1,64,2,"(6, 9)",vote,0.8870355078447564
PKLot,camera1,camera1,64,2,"(7, 8)",sum,0.9364161849710982
PKLot,camera1,camera1,64,2,"(7, 8)",mean_probs,0.9364161849710982
PKLot,camera1,camera1,64,2,"(7, 8)",max,0.9364161849710982
PKLot,camera1,camera1,64,2,"(7, 8)",mult,0.9364161849710982
PKLot,camera1,camera1,64,2,"(7, 8)",vote,0.9364161849710982
PKLot,camera1,camera1,64,2,"(7, 9)",sum,0.9289843104872006
PKLot,camera1,camera1,64,2,"(7, 9)",mean_probs,0.9289843104872006
PKLot,camera1,camera1,64,2,"(7, 9)",max,0.9289843104872006
PKLot,camera1,camera1,64,2,"(7, 9)",mult,0.9289843104872006
PKLot,camera1,camera1,64,2,"(7, 9)",vote,0.9289843104872006
PKLot,camera1,camera1,64,2,"(8, 9)",sum,0.9073492981007432
PKLot,camera1,camera1,64,2,"(8, 9)",mean_probs,0.9073492981007432
PKLot,camera1,camera1,64,2,"(8, 9)",max,0.9073492981007432
PKLot,camera1,camera1,64,2,"(8, 9)",mult,0.9073492981007432
PKLot,camera1,camera1,64,2,"(8, 9)",vote,0.9073492981007432
PKLot,camera1,camera1,64,3,"(0, 1, 2)",sum,0.9270024772914947
PKLot,camera1,camera1,64,3,"(0, 1, 2)",mean_probs,0.9270024772914947
PKLot,camera1,camera1,64,3,"(0, 1, 2)",max,0.9238645747316268
PKLot,camera1,camera1,64,3,"(0, 1, 2)",mult,0.925681255161024
PKLot,camera1,camera1,64,3,"(0, 1, 2)",vote,0.9258464079273327
PKLot,camera1,camera1,64,3,"(0, 1, 3)",sum,0.9182493806771264
PKLot,camera1,camera1,64,3,"(0, 1, 3)",mean_probs,0.9182493806771264
PKLot,camera1,camera1,64,3,"(0, 1, 3)",max,0.9147811725846408
PKLot,camera1,camera1,64,3,"(0, 1, 3)",mult,0.9177539223781999
PKLot,camera1,camera1,64,3,"(0, 1, 3)",vote,0.9210569777043766
PKLot,camera1,camera1,64,3,"(0, 1, 4)",sum,0.9129644921552436
PKLot,camera1,camera1,64,3,"(0, 1, 4)",mean_probs,0.9129644921552436
PKLot,camera1,camera1,64,3,"(0, 1, 4)",max,0.9144508670520232
