MSE_Weight,SSIM_Weight,rec_weights,Val_Loss,mean_distance
0.5,0.5,0.5,0.5465787053108215,154.87762
0.5,0.5,0.7,0.5268437564373016,170.56544
0.5,0.5,1.0,0.5207971036434174,201.90004
0.5,0.6,0.3,0.5658085644245148,185.74257
0.5,0.6,0.5,0.5865351557731628,163.3548
0.5,0.6,0.7,0.5979265868663788,189.01181
0.5,0.6,1.0,0.6164957284927368,186.53444
0.6,0.0,0.3,0.16221057623624802,133.47937
0.6,0.0,0.5,0.14257731288671494,123.432724
0.6,0.0,0.7,0.14475269615650177,141.64775
0.6,0.0,1.0,0.1207631379365921,109.95216
0.6,0.2,0.3,0.2675611525774002,111.70095
0.6,0.2,0.5,0.30262692272663116,156.49203
0.6,0.2,0.7,0.32625892758369446,111.6473
0.6,0.2,1.0,0.30001942813396454,105.08453
0.6,0.3,0.3,0.3416614830493927,149.83025
0.6,0.3,0.5,0.37201307713985443,157.97221
0.6,0.3,0.7,0.36200518906116486,185.32994
0.6,0.3,1.0,0.39998970925807953,171.05025
0.6,0.4,0.3,0.3994552046060562,143.86023
0.6,0.4,0.5,0.4903334975242615,85.89019
0.6,0.4,0.7,0.47377361357212067,155.14717
0.6,0.4,1.0,0.48373204469680786,172.66188
0.6,0.5,0.3,0.5175299644470215,141.99446
0.6,0.5,0.5,0.5765942931175232,158.4211
0.6,0.5,0.7,0.5739844441413879,193.25874
0.6,0.5,1.0,0.5503387451171875,114.697
0.6,0.6,0.3,0.599523663520813,127.183464
0.6,0.6,0.5,0.6433105766773224,112.541725
0.6,0.6,0.7,0.5811341404914856,123.99425
0.6,0.6,1.0,0.6254794597625732,135.93152
0.7,0.0,0.3,0.1986849382519722,151.76204
0.7,0.0,0.5,0.1872469112277031,139.12595
0.7,0.0,0.7,0.17125988006591797,128.94601
0.7,0.0,1.0,0.15824978053569794,135.99303
0.7,0.2,0.3,0.3226219117641449,143.4275
0.7,0.2,0.5,0.3714418113231659,91.510376
