Fusao,Base do Autoencoder,Base de Treino,Base de Teste,Acuracia,Batch
SumFusion,PKLot,camera7,camera6,0.506,512
SumFusion,PKLot,camera7,camera6,0.506,1024
SumFusion,PKLot,camera7,camera7,0.931,64
SumFusion,PKLot,camera7,camera7,0.932,128
SumFusion,PKLot,camera7,camera7,0.921,256
SumFusion,PKLot,camera7,camera7,0.928,512
SumFusion,PKLot,camera7,camera7,0.925,1024
SumFusion,PKLot,camera7,camera8,0.503,64
SumFusion,PKLot,camera7,camera8,0.501,128
SumFusion,PKLot,camera7,camera8,0.499,256
SumFusion,PKLot,camera7,camera8,0.498,512
SumFusion,PKLot,camera7,camera8,0.5,1024
SumFusion,PKLot,camera7,camera9,0.491,64
SumFusion,PKLot,camera7,camera9,0.487,128
SumFusion,PKLot,camera7,camera9,0.49,256
SumFusion,PKLot,camera7,camera9,0.492,512
SumFusion,PKLot,camera7,camera9,0.492,1024
SumFusion,PKLot,camera8,camera1,0.51,64
SumFusion,PKLot,camera8,camera1,0.508,128
SumFusion,PKLot,camera8,camera1,0.506,256
SumFusion,PKLot,camera8,camera1,0.508,512
SumFusion,PKLot,camera8,camera1,0.507,1024
SumFusion,PKLot,camera8,camera2,0.531,64
SumFusion,PKLot,camera8,camera2,0.534,128
SumFusion,PKLot,camera8,camera2,0.527,256
SumFusion,PKLot,camera8,camera2,0.523,512
SumFusion,PKLot,camera8,camera2,0.515,1024
SumFusion,PKLot,camera8,camera3,0.501,64
SumFusion,PKLot,camera8,camera3,0.5,128
SumFusion,PKLot,camera8,camera3,0.499,256
SumFusion,PKLot,camera8,camera3,0.499,512
SumFusion,PKLot,camera8,camera3,0.499,1024
SumFusion,PKLot,camera8,camera4,0.506,64
SumFusion,PKLot,camera8,camera4,0.501,128
SumFusion,PKLot,camera8,camera4,0.503,256
SumFusion,PKLot,camera8,camera4,0.503,512
SumFusion,PKLot,camera8,camera4,0.5,1024
SumFusion,PKLot,camera8,camera5,0.499,64
SumFusion,PKLot,camera8,camera5,0.499,128
SumFusion,PKLot,camera8,camera5,0.5,256
SumFusion,PKLot,camera8,camera5,0.504,512
SumFusion,PKLot,camera8,camera5,0.501,1024
SumFusion,PKLot,camera8,camera6,0.506,64
SumFusion,PKLot,camera8,camera6,0.505,128
SumFusion,PKLot,camera8,camera6,0.506,256
SumFusion,PKLot,camera8,camera6,0.504,512
SumFusion,PKLot,camera8,camera6,0.504,1024
SumFusion,PKLot,camera8,camera7,0.488,64
SumFusion,PKLot,camera8,camera7,0.493,128
SumFusion,PKLot,camera8,camera7,0.491,256
SumFusion,PKLot,camera8,camera7,0.491,512
SumFusion,PKLot,camera8,camera7,0.491,1024
SumFusion,PKLot,camera8,camera8,0.943,64
SumFusion,PKLot,camera8,camera8,0.958,128
SumFusion,PKLot,camera8,camera8,0.967,256
SumFusion,PKLot,camera8,camera8,0.965,512
SumFusion,PKLot,camera8,camera8,0.97,1024
SumFusion,PKLot,camera8,camera9,0.495,64
SumFusion,PKLot,camera8,camera9,0.492,128
SumFusion,PKLot,camera8,camera9,0.493,256
SumFusion,PKLot,camera8,camera9,0.492,512
